poi_id,connection_id,connection_type_id,connection_type,power_kw,voltage,amps,current_type_id,current_type,level_id,level,status_type_id,status,quantity,comments,etl_staged_at
472810,793975,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040859
472808,793970,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,490,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040874
472798,793953,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.040889
472532,793532,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,90,45,10,"{'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}",1,"{'Comments': 'Under 2 kW, usually domestic socket types', 'IsFastChargeCapable': False, 'ID': 1, 'Title': 'Level 1 : Low (Under 2kW)'}",50,,1,,2026-02-09T16:28:40.040905
472508,793491,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",,,,10,"{'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}",,,50,,1,,2026-02-09T16:28:40.040922
472439,793373,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040937
472327,793163,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,4,,2026-02-09T16:28:40.040959
472326,793162,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.040976
471993,792666,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.040991
471993,792667,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.041006
471992,792665,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041025
471991,792664,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041040
471989,792662,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041056
471855,792484,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041072
471854,792482,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041088
471853,792481,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041103
471003,791080,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",160,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,Charge 2 Vehicle at a time,2026-02-09T16:28:40.041125
471003,791081,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,Charge 2 Vehicle at a time ,2026-02-09T16:28:40.041142
471003,791082,0,"{'FormalName': 'Not Specified', 'ID': 0, 'Title': 'Unknown'}",7.4,,,,,2,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",50,,1,,2026-02-09T16:28:40.041157
471003,791083,0,"{'FormalName': 'Not Specified', 'ID': 0, 'Title': 'Unknown'}",3.3,,,,,2,"{'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}",50,,1,,2026-02-09T16:28:40.041172
470897,790918,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041191
470760,790757,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041206
470710,790676,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041220
470709,790675,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041235
469744,788553,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041250
469742,788551,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,Resort has decent food and washrooms,2026-02-09T16:28:40.041264
469522,788101,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.041287
469517,788094,1036,"{'FormalName': 'IEC 62196-2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 1036, 'Title': 'Type 2 (Tethered Connector) '}",15,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",,,50,,1,,2026-02-09T16:28:40.041304
